startTime,value,keys,name
2024-04-16T04:00:00Z,479.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T04:30:00Z,1402.0,Biomass,bmrs _report
2024-04-16T04:30:00Z,239.0,Fossil Hard coal,bmrs _report
2024-04-16T04:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T04:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T04:30:00Z,477.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T05:00:00Z,1386.0,Biomass,bmrs _report
2024-04-16T05:00:00Z,233.0,Fossil Hard coal,bmrs _report
2024-04-16T05:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T05:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T05:00:00Z,505.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T05:30:00Z,1595.0,Biomass,bmrs _report
2024-04-16T05:30:00Z,240.0,Fossil Hard coal,bmrs _report
2024-04-16T05:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T05:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T05:30:00Z,505.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T06:00:00Z,2324.0,Biomass,bmrs _report
2024-04-16T06:00:00Z,256.0,Fossil Hard coal,bmrs _report
2024-04-16T06:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T06:00:00Z,293.0,Hydro Pumped Storage,bmrs _report
2024-04-16T06:00:00Z,491.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T06:30:00Z,2583.0,Biomass,bmrs _report
2024-04-16T06:30:00Z,256.0,Fossil Hard coal,bmrs _report
2024-04-16T06:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T06:30:00Z,830.0,Hydro Pumped Storage,bmrs _report
2024-04-16T06:30:00Z,623.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T07:00:00Z,2651.0,Biomass,bmrs _report
2024-04-16T07:00:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T07:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T07:00:00Z,1218.0,Hydro Pumped Storage,bmrs _report
2024-04-16T07:00:00Z,667.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T07:30:00Z,2853.0,Biomass,bmrs _report
2024-04-16T07:30:00Z,0.0,Fossil Hard coal,bmrs _report
2024-04-16T07:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T07:30:00Z,935.0,Hydro Pumped Storage,bmrs _report
